genome_id,genus,species,full_name
GCF_000006985.1_Chlorobaculum_tepidum_TLS,Chlorobaculum,tepidum,Chlorobaculum_tepidum
GCF_000007085.1_Caldanaerobacter_subterraneus_subsp__tengcongensis,Caldanaerobacter,subterraneus,Caldanaerobacter_subterraneus
GCF_000007485.1_Tropheryma_whipplei_str__Twist,Tropheryma,whipplei,Tropheryma_whipplei
GCF_000007605.1_Chlamydia_caviae_GPIC,Chlamydia,caviae,Chlamydia_caviae
GCF_000007745.1__Mannheimia__succiniciproducens_MBEL55E,,Mannheimia,_Mannheimia
GCF_000007905.1_Helicobacter_hepaticus_ATCC_51449,Helicobacter,hepaticus,Helicobacter_hepaticus
GCF_000008365.1_Mycoplasma_mobile_163K,Mycoplasma,mobile,Mycoplasma_mobile
GCF_000008505.1__Bacillus_thuringiensis__serovar_konkukian_str__97,,Bacillus,_Bacillus
GCF_000008625.1_Aquifex_aeolicus_VF5,Aquifex,aeolicus,Aquifex_aeolicus
GCF_000008765.1_Clostridium_acetobutylicum_ATCC_824,Clostridium,acetobutylicum,Clostridium_acetobutylicum
GCF_000009125.1_Ralstonia_pseudosolanacearum_GMI1000,Ralstonia,pseudosolanacearum,Ralstonia_pseudosolanacearum
GCF_000009165.1_Xanthomonas_euvesicatoria_pv__vesicatoria_str__85-,Xanthomonas,euvesicatoria,Xanthomonas_euvesicatoria
GCF_000009265.1_Rhizobium_johnstonii_3841,Rhizobium,johnstonii,Rhizobium_johnstonii
GCF_000009305.1_Helicobacter_acinonychis_str__Sheeba,Helicobacter,acinonychis,Helicobacter_acinonychis
GCF_000009365.1_Alcanivorax_borkumensis_SK2,Alcanivorax,borkumensis,Alcanivorax_borkumensis
GCF_000009625.1_Mesorhizobium_japonicum_MAFF_303099,Mesorhizobium,japonicum,Mesorhizobium_japonicum
GCF_000009765.2_Streptomyces_avermitilis_MA-4680___NBRC_14893,Streptomyces,avermitilis,Streptomyces_avermitilis
GCF_000009825.1_Shouchella_clausii_KSM-K16,Shouchella,clausii,Shouchella_clausii
GCF_000009905.1_Symbiobacterium_thermophilum_IAM_14863,Symbiobacterium,thermophilum,Symbiobacterium_thermophilum
GCF_000009945.1_Chlamydia_felis_Fe_C-56,Chlamydia,felis,Chlamydia_felis
GCF_000009985.1_Paramagnetospirillum_magneticum_AMB-1,Paramagnetospirillum,magneticum,Paramagnetospirillum_magneticum
GCF_000010045.1_Desulfitobacterium_hafniense_Y51,Desulfitobacterium,hafniense,Desulfitobacterium_hafniense
GCF_000010085.1_Sodalis_glossinidius_str___morsitans_,Sodalis,glossinidius,Sodalis_glossinidius
GCF_000010305.1_Gemmatimonas_aurantiaca_T-27,Gemmatimonas,aurantiaca,Gemmatimonas_aurantiaca
GCF_000010325.1_Nitratiruptor_sp__SB155-2,Nitratiruptor,sp,Nitratiruptor_sp
GCF_000010345.1_Sulfurovum_sp__NBC37-1,Sulfurovum,sp,Sulfurovum_sp
GCF_000010405.1_Candidatus_Vesicomyidisocius_calyptogenae,Candidatus,Vesicomyidisocius,Candidatus_Vesicomyidisocius
GCF_000010525.1_Azorhizobium_caulinodans_ORS_571,Azorhizobium,caulinodans,Azorhizobium_caulinodans
GCF_000010645.1_Candidatus_Azobacteroides_pseudotrichonymphae_geno,Candidatus,Azobacteroides,Candidatus_Azobacteroides
GCF_000010665.1_Solidesulfovibrio_magneticus_RS-1,Solidesulfovibrio,magneticus,Solidesulfovibrio_magneticus
GCF_000010725.1_Azospirillum_sp__B510,Azospirillum,sp,Azospirillum_sp
GCF_000010985.1_Deferribacter_desulfuricans_SSM1,Deferribacter,desulfuricans,Deferribacter_desulfuricans
GCF_000011225.1_Malacoplasma_penetrans_HF-2,Malacoplasma,penetrans,Malacoplasma_penetrans
GCF_000011245.1_Oceanobacillus_iheyensis_HTE831,Oceanobacillus,iheyensis,Oceanobacillus_iheyensis
GCF_000011305.1_Corynebacterium_efficiens_YS-314,Corynebacterium,efficiens,Corynebacterium_efficiens
GCF_000011345.1_Thermosynechococcus_vestitus_BP-1,Thermosynechococcus,vestitus,Thermosynechococcus_vestitus
GCF_000011365.1_Bradyrhizobium_diazoefficiens_USDA_110,Bradyrhizobium,diazoefficiens,Bradyrhizobium_diazoefficiens
GCF_000011385.1_Gloeobacter_violaceus_PCC_7421,Gloeobacter,violaceus,Gloeobacter_violaceus
GCF_000011465.1_Prochlorococcus_marinus_subsp__pastoris_str__CCMP1,Prochlorococcus,marinus,Prochlorococcus_marinus
GCF_000011565.2_Candidatus_Protochlamydia_amoebophila_UWE25,Candidatus,Protochlamydia,Candidatus_Protochlamydia
GCF_000011805.1_Aliivibrio_fischeri_ES114,Aliivibrio,fischeri,Aliivibrio_fischeri
GCF_000011945.1_Anaplasma_marginale_str__St__Maries,Anaplasma,marginale,Anaplasma_marginale
GCF_000012225.1_Aster_yellows_witches_-broom_phytoplasma_AYWB,Aster,yellows,Aster_yellows
GCF_000012265.1_Pseudomonas_protegens_Pf-5,Pseudomonas,protegens,Pseudomonas_protegens
GCF_000012305.1_Psychrobacter_arcticus_273-4,Psychrobacter,arcticus,Psychrobacter_arcticus
GCF_000012325.1_Colwellia_psychrerythraea_34H,Colwellia,psychrerythraea,Colwellia_psychrerythraea
GCF_000012345.1_Candidatus_Pelagibacter_ubique_HTCC1062,Candidatus,Pelagibacter,Candidatus_Pelagibacter
GCF_000012485.1_Pelodictyon_luteolum_DSM_273,Pelodictyon,luteolum,Pelodictyon_luteolum
GCF_000012525.1_Synechococcus_elongatus_PCC_7942___FACHB-805,Synechococcus,elongatus,Synechococcus_elongatus
GCF_000012725.1_Nitrobacter_winogradskyi_Nb-255,Nitrobacter,winogradskyi,Nitrobacter_winogradskyi
GCF_000012745.1_Thiobacillus_denitrificans_ATCC_25259,Thiobacillus,denitrificans,Thiobacillus_denitrificans
GCF_000012805.1_Nitrosococcus_oceani_ATCC_19707,Nitrosococcus,oceani,Nitrosococcus_oceani
GCF_000012865.1_Carboxydothermus_hydrogenoformans_Z-2901,Carboxydothermus,hydrogenoformans,Carboxydothermus_hydrogenoformans
GCF_000012885.1_Syntrophotalea_carbinolica_DSM_2380,Syntrophotalea,carbinolica,Syntrophotalea_carbinolica
GCF_000012925.1_Geobacter_metallireducens_GS-15,Geobacter,metallireducens,Geobacter_metallireducens
GCF_000012945.1_Burkholderia_lata,Burkholderia,lata,Burkholderia_lata
GCF_000012965.1_Sulfurimonas_denitrificans_DSM_1251,Sulfurimonas,denitrificans,Sulfurimonas_denitrificans
GCF_000012985.1_Hahella_chejuensis_KCTC_2396,Hahella,chejuensis,Hahella_chejuensis
GCF_000013025.1_Hyphomonas_neptunium_ATCC_15444,Hyphomonas,neptunium,Hyphomonas_neptunium
GCF_000013145.1_Ehrlichia_chaffeensis_str__Arkansas,Ehrlichia,chaffeensis,Ehrlichia_chaffeensis
GCF_000013165.1_Ehrlichia_sennetsu_str__Miyayama,Ehrlichia,sennetsu,Ehrlichia_sennetsu
GCF_000013185.1_Baumannia_cicadellinicola_str__Hc__Homalodisca_coa,Baumannia,cicadellinicola,Baumannia_cicadellinicola
